sr,name,docstatus,item_code,item_name,warehouse,creation,modified,_user_tags
68,FZ324060003729,0,110110006,DECO IP ANDROID 4K HP44H SERIAL,,2025-06-23 13:43:32.755499,2025-06-23 13:46:34.665131,
69,ALCLB43ACDC2,0,140110075,ONT GPON WIFI-N SAGEMCOM F@ST5657 SERIAL,,2025-06-23 13:43:32.635618,2025-06-23 13:46:34.586730,
70,534D4253005D88A5,0,140110075,ONT GPON WIFI-N SAGEMCOM F@ST5657 SERIAL,,2025-06-23 13:43:31.676368,2025-06-23 13:46:34.566955,
71,534D425300465DC0,0,140110075,ONT GPON WIFI-N SAGEMCOM F@ST5657 SERIAL,,2025-06-23 13:43:32.443438,2025-06-23 13:46:34.549894,
72,534D4253002BA015,0,140110075,ONT GPON WIFI-N SAGEMCOM F@ST5657 SERIAL,,2025-06-23 13:43:31.712144,2025-06-23 13:46:34.533452,
73,524D425300262BE5,0,140110075,ONT GPON WIFI-N SAGEMCOM F@ST5657 SERIAL,,2025-06-23 13:43:31.740798,2025-06-23 13:46:34.514935,
74,48575443FA2766AE,0,140110075,ONT GPON WIFI-N SAGEMCOM F@ST5657 SERIAL,,2025-06-23 13:43:32.328076,2025-06-23 13:46:34.496340,
75,48575443F5FA6FAE,0,140110075,ONT GPON WIFI-N SAGEMCOM F@ST5657 SERIAL,,2025-06-23 13:43:32.154416,2025-06-23 13:46:34.480304,
76,48575443F5F451AE,0,140110075,ONT GPON WIFI-N SAGEMCOM F@ST5657 SERIAL,,2025-06-23 13:43:32.129200,2025-06-23 13:46:34.463036,
77,48575443EE12ACAE,0,140110075,ONT GPON WIFI-N SAGEMCOM F@ST5657 SERIAL,,2025-06-23 13:43:32.470137,2025-06-23 13:46:34.446364,
78,48575443EBA8D1AF,0,140110075,ONT GPON WIFI-N SAGEMCOM F@ST5657 SERIAL,,2025-06-23 13:43:32.409162,2025-06-23 13:46:34.430392,
79,48575443EBA77CAF,0,140110075,ONT GPON WIFI-N SAGEMCOM F@ST5657 SERIAL,,2025-06-23 13:43:31.826242,2025-06-23 13:46:34.412713,
80,48575443EBA769AF,0,140110075,ONT GPON WIFI-N SAGEMCOM F@ST5657 SERIAL,,2025-06-23 13:43:31.797542,2025-06-23 13:46:34.395286,
81,48575443EBA766AF,0,140110075,ONT GPON WIFI-N SAGEMCOM F@ST5657 SERIAL,,2025-06-23 13:43:31.885663,2025-06-23 13:46:34.379948,
82,48575443EBA759AF,0,140110075,ONT GPON WIFI-N SAGEMCOM F@ST5657 SERIAL,,2025-06-23 13:43:31.965325,2025-06-23 13:46:34.363205,
83,48575443EBA757AF,0,140110075,ONT GPON WIFI-N SAGEMCOM F@ST5657 SERIAL,,2025-06-23 13:43:31.911423,2025-06-23 13:46:34.345961,
84,48575443EBA726AF,0,140110075,ONT GPON WIFI-N SAGEMCOM F@ST5657 SERIAL,,2025-06-23 13:43:31.852324,2025-06-23 13:46:34.330441,
85,48575443EBA723AF,0,140110075,ONT GPON WIFI-N SAGEMCOM F@ST5657 SERIAL,,2025-06-23 13:43:32.019229,2025-06-23 13:46:34.313620,
86,48575443EBA718AF,0,140110075,ONT GPON WIFI-N SAGEMCOM F@ST5657 SERIAL,,2025-06-23 13:43:31.771098,2025-06-23 13:46:34.297035,
87,48575443EBA716AF,0,140110075,ONT GPON WIFI-N SAGEMCOM F@ST5657 SERIAL,,2025-06-23 13:43:32.076117,2025-06-23 13:46:34.281472,
88,48575443EBA713AF,0,140110075,ONT GPON WIFI-N SAGEMCOM F@ST5657 SERIAL,,2025-06-23 13:43:31.992504,2025-06-23 13:46:34.261683,
89,48575443EBA699AF,0,140110075,ONT GPON WIFI-N SAGEMCOM F@ST5657 SERIAL,,2025-06-23 13:43:31.939091,2025-06-23 13:46:34.244894,
90,48575443EBA620AF,0,140110075,ONT GPON WIFI-N SAGEMCOM F@ST5657 SERIAL,,2025-06-23 13:43:32.047151,2025-06-23 13:46:34.229653,
91,48575443DF6895B0,0,140110075,ONT GPON WIFI-N SAGEMCOM F@ST5657 SERIAL,,2025-06-23 13:43:32.266323,2025-06-23 13:46:34.212683,
92,48575443D1B173AF,0,140110075,ONT GPON WIFI-N SAGEMCOM F@ST5657 SERIAL,,2025-06-23 13:43:32.496577,2025-06-23 13:46:34.195622,
93,48575443CFD6E0AF,0,140110075,ONT GPON WIFI-N SAGEMCOM F@ST5657 SERIAL,,2025-06-23 13:43:32.554178,2025-06-23 13:46:34.180128,
